,type,features,nom,id,essonne,cpts,cpts_code,indicateur_1,indicateur_2,indicateur_3,indicateur_4
18678,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.3663736281865297, 48.51028212069763], [2.352288421020651, 48.48979376405595], [2.349916694608648, 48.49770651822743], [2.307086472728099, 48.4999024309005], [2.3241448164828538, 48.51865876729114], [2.337942940394348, 48.52085950434468], [2.3368636057656285, 48.53232344401394], [2.357098994485879, 48.536815626497386], [2.3722430731532813, 48.53686056354045], [2.3627954299057, 48.52508853411741], [2.3663736281865297, 48.51028212069763]]]}, 'properties': {'code': '91315', 'nom': 'Itteville'}}",Itteville,91315,True,Val d Essonne et des 2 Vallées,9,5,6,6,0
18679,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.5182770284128475, 48.5832577878723], [2.521771675729651, 48.57322388806523], [2.499786928471047, 48.56732234397225], [2.4879437087887633, 48.56841440400644], [2.481253208809743, 48.58020560791838], [2.482368683850292, 48.58256729233455], [2.5088741085415083, 48.58402894984856], [2.5182770284128475, 48.5832577878723]]]}, 'properties': {'code': '91435', 'nom': 'Morsang-sur-Seine'}}",Morsang-sur-Seine,91435,True,Santé Seine Essonne,7,2,1,3,3
19216,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.2730066862828746, 48.6519068730687], [2.2761226585839665, 48.66022836796182], [2.291325489745317, 48.65757621796877], [2.298933805387307, 48.650119261409316], [2.297856500438116, 48.64440996334602], [2.292714326039, 48.626155087773526], [2.282544095671399, 48.61773753303217], [2.276027550834053, 48.621970922976814], [2.281575738855799, 48.627005953057264], [2.2800376595698904, 48.64356128097839], [2.2730066862828746, 48.6519068730687]]]}, 'properties': {'code': '91347', 'nom': 'Longpont-sur-Orge'}}",Longpont-sur-Orge,91347,True,Val d Orge,10,0,8,3,3
19217,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.05069287113412, 48.5457664364405], [2.05576172301694, 48.54793889763698], [2.060760181158075, 48.54952582699318], [2.063763021584363, 48.53388703197624], [2.074033626531147, 48.50994713643324], [2.06154574081484, 48.4920180202852], [2.0467067083862007, 48.48705067177693], [2.03232828721902, 48.501293030822424], [2.0403805473950936, 48.51327874045439], [2.035217176775202, 48.53486881877048], [2.05069287113412, 48.5457664364405]]]}, 'properties': {'code': '91525', 'nom': 'Roinville'}}",Roinville,91525,True,Sud Hurepoix,8,5,8,5,6
19218,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.3419524666358513, 48.66757213746646], [2.3381254324377627, 48.66737105034268], [2.3264174034756335, 48.686509678823555], [2.3281702656974748, 48.687535986567006], [2.351677731478892, 48.70247151116366], [2.3538741054199024, 48.701781838880066], [2.3596904856548475, 48.699537533316864], [2.371882386886098, 48.68570541459975], [2.355465432354747, 48.67081219590897], [2.3419524666358513, 48.66757213746646]]]}, 'properties': {'code': '91589', 'nom': 'Savigny-sur-Orge'}}",Savigny-sur-Orge,91589,True,Nord Essonne - Hygie,3,2,3,5,5
19730,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.4081536715786553, 48.386849269772384], [2.4096762614678098, 48.373946173383416], [2.427873892841397, 48.363319919954925], [2.4298322285044196, 48.362015783117755], [2.433827158573359, 48.33453952581448], [2.4255797345219614, 48.33724847779272], [2.4023366494288547, 48.332945216883004], [2.3923715244617507, 48.335872616428915], [2.3853643121395756, 48.34773985119375], [2.3830112326456243, 48.35848827139812], [2.386682851835512, 48.3816928212583], [2.4081536715786553, 48.386849269772384]]]}, 'properties': {'code': '91121', 'nom': 'Buno-Bonnevaux'}}",Buno-Bonnevaux,91121,True,Val d Essonne et des 2 Vallées,9,1,0,6,7
19731,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[1.9772441197240544, 48.39916528953443], [2.0054042897155697, 48.40117731643888], [2.001713279162818, 48.395603937502386], [1.994307878314195, 48.3822701652667], [2.0159317114647304, 48.370044148696515], [2.011343357978531, 48.36341975759944], [1.9873561396451054, 48.36380202558544], [1.97631487212421, 48.38027165052633], [1.9667222534618785, 48.38042234912547], [1.9772441197240544, 48.39916528953443]]]}, 'properties': {'code': '91613', 'nom': 'Congerville-Thionville'}}",Congerville-Thionville,91613,True,PEPS,5,0,9,8,0
20243,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.275053970944429, 48.46299687942931], [2.2667688980022924, 48.47120482101042], [2.2705955145229324, 48.47915428291304], [2.2774911497266697, 48.48347873172417], [2.300891496328719, 48.474136548145985], [2.304068646575952, 48.46717394733659], [2.292920353380398, 48.45920912249712], [2.281768613994246, 48.45965498305527], [2.275053970944429, 48.46299687942931]]]}, 'properties': {'code': '91080', 'nom': 'Boissy-le-Cutté'}}",Boissy-le-Cutté,91080,True,Val d Essonne et des 2 Vallées,9,8,7,8,8
20244,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.2848920427757387, 48.699121566597405], [2.2938065967968098, 48.70511123471633], [2.3055471686117195, 48.692920246685055], [2.316143464523056, 48.69198304639008], [2.3281702656974748, 48.687535986567006], [2.3264174034756335, 48.686509678823555], [2.3051571383676315, 48.678310256676774], [2.286128737565018, 48.68617636686202], [2.2848920427757387, 48.699121566597405]]]}, 'properties': {'code': '91345', 'nom': 'Longjumeau'}}",Longjumeau,91345,True,Cur Santé Orge Yvette,2,3,5,9,7
20245,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.391371982315057, 48.48068928486794], [2.415182817978243, 48.48112378754634], [2.436206435392208, 48.480298829873], [2.4450532910479774, 48.475437516282184], [2.4446720474306582, 48.45263887700131], [2.4127003677144576, 48.45627251706655], [2.3998715460130176, 48.46041870293054], [2.4007588915005575, 48.471560746761035], [2.3857478599249093, 48.473319308315446], [2.391371982315057, 48.48068928486794]]]}, 'properties': {'code': '91654', 'nom': 'Videlles'}}",Videlles,91654,True,Val d Essonne et des 2 Vallées,9,4,9,0,5
20768,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[1.9331084385639197, 48.48142425266525], [1.9556254941593396, 48.47264552301906], [1.9306279978488787, 48.45371826817908], [1.9221489648373706, 48.457600286064135], [1.9149145708790403, 48.473854949789406], [1.9331084385639197, 48.48142425266525]]]}, 'properties': {'code': '91145', 'nom': 'Chatignonville'}}",Chatignonville,91145,True,PEPS,5,4,6,7,3
20769,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.521771675729651, 48.57322388806523], [2.5315954426387064, 48.57365876989203], [2.499315396030254, 48.54290602430603], [2.472349956478462, 48.54078336288102], [2.465176547057712, 48.54147098158754], [2.469743673339735, 48.55603759586536], [2.456355385143855, 48.563866386727035], [2.4738489175580933, 48.57770832140336], [2.481253208809743, 48.58020560791838], [2.4879437087887633, 48.56841440400644], [2.499786928471047, 48.56732234397225], [2.521771675729651, 48.57322388806523]]]}, 'properties': {'code': '91179', 'nom': 'Coudray-Montceaux'}}",Coudray-Montceaux,91179,True,Val d Essonne et des 2 Vallées,9,5,9,5,4
20770,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.4319289374563215, 48.611734338397895], [2.411657382625413, 48.61336301278299], [2.4000594087215523, 48.609733984916616], [2.3992705490796666, 48.62410454316675], [2.413329247562272, 48.636075294324215], [2.4226142300821527, 48.63098440474639], [2.4319289374563215, 48.611734338397895]]]}, 'properties': {'code': '91182', 'nom': 'Courcouronnes'}}",Courcouronnes,91182,True,Centre Essonne,0,1,3,8,7
20771,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.359384499675438, 48.6180677171706], [2.362191410663048, 48.601486242605425], [2.338445908821838, 48.5904990451477], [2.326590094046657, 48.592942326916614], [2.32006084440856, 48.60911513583428], [2.3289347346009843, 48.619510202871396], [2.3304993772437657, 48.6202296430964], [2.349942576141706, 48.620184434301926], [2.359384499675438, 48.6180677171706]]]}, 'properties': {'code': '91494', 'nom': 'Plessis-Pâté'}}",Plessis-Pâté,91494,True,Cur Essonne,1,2,9,4,7
21291,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.3485563642198275, 48.47207752117151], [2.3441606587253245, 48.47629963001473], [2.346602093748158, 48.4866948815531], [2.3636514819149634, 48.49136655333645], [2.391371982315057, 48.48068928486794], [2.3857478599249093, 48.473319308315446], [2.3505928758795207, 48.476973721325166], [2.3485563642198275, 48.47207752117151]]]}, 'properties': {'code': '91232', 'nom': 'Ferté-Alais'}}",Ferté-Alais,91232,True,Val d Essonne et des 2 Vallées,9,6,0,3,0
21292,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.174244984346053, 48.69029344278195], [2.1707518709516562, 48.706658005011704], [2.171682801665039, 48.71480481596169], [2.193479634091989, 48.71869596677261], [2.1934543883465834, 48.71020470421476], [2.209710986462325, 48.701579495862916], [2.2047072212611045, 48.691058156266934], [2.174244984346053, 48.69029344278195]]]}, 'properties': {'code': '91471', 'nom': 'Orsay'}}",Orsay,91471,True,Val d Yvette,12,4,9,1,8
21293,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.20472891733492, 48.685166582862045], [2.241772918302237, 48.68529093738236], [2.245486451736617, 48.673656958831586], [2.218323012503787, 48.67182686112159], [2.2084402309889426, 48.66614869176662], [2.1954565975004243, 48.66887725311641], [2.2113866058146376, 48.67878834637867], [2.20472891733492, 48.685166582862045]]]}, 'properties': {'code': '91666', 'nom': 'Villejust'}}",Villejust,91666,True,Noé Santé,4,4,0,6,5
